ORCID,author_position,corresponding_author,pub_date,DOI,already_oa,oa_status,issn,source,publisher,policy_uri,submitted_oa_policy,accepted_oa_policy,published_oa_policy
https://orcid.org/0000-0003-3026-5483,last,https://orcid.org/0000-0002-3220-4855,2024-08-26,https://doi.org/10.1038/d41586-024-02712-y,yes,hybrid,0028-0836,Nature,Nature Portfolio,https://v2.sherpa.ac.uk/id/publication/4008,"11461:fee_no:Must link to publisher version Upon publication, source must be acknowledged and DOI cited Post-prints are subject to Springer Nature re-use terms Non-commercial use only;",11462:fee_no:Must link to publisher version Published source must be acknowledged and DOI cited Post-prints are subject to Springer Nature re-use terms Non-commercial use only;,None
,middle,none,2025-04-15,https://doi.org/10.1038/s42255-025-01264-3,yes,hybrid,2522-5812,Nature Metabolism,Nature Portfolio,https://v2.sherpa.ac.uk/id/publication/35368,"11461:fee_no:Must link to publisher version Upon publication, source must be acknowledged and DOI cited Post-prints are subject to Springer Nature re-use terms Non-commercial use only;",11462:fee_no:Must link to publisher version Published source must be acknowledged and DOI cited Post-prints are subject to Springer Nature re-use terms Non-commercial use only;,None
https://orcid.org/0000-0003-4793-7899,first,https://orcid.org/0000-0003-4793-7899,2025-01-24,https://doi.org/10.1126/sciadv.adr2613,yes,gold,2375-2548,Science Advances,American Association for the Advancement of Science,https://v2.sherpa.ac.uk/id/publication/29739,None,None,None
https://orcid.org/0000-0001-7350-6991,middle,https://orcid.org/0000-0002-3892-4087,2025-03-10,https://doi.org/10.1038/s41593-025-01880-y,no,closed,1097-6256,Nature Neuroscience,Nature Portfolio,https://v2.sherpa.ac.uk/id/publication/1657,"11461:fee_no:Must link to publisher version Upon publication, source must be acknowledged and DOI cited Post-prints are subject to Springer Nature re-use terms Non-commercial use only;",11462:fee_no:Must link to publisher version Published source must be acknowledged and DOI cited Post-prints are subject to Springer Nature re-use terms Non-commercial use only;,None
https://orcid.org/0000-0001-7604-6046,middle,https://orcid.org/0000-0003-4852-3401,2025-02-03,https://doi.org/10.3389/fmars.2025.1473382,yes,gold,2296-7745,Frontiers in Marine Science,Frontiers Media,https://v2.sherpa.ac.uk/id/publication/26075,None,None,None
https://orcid.org/0000-0002-8238-9560,middle,none,2025-02-01,https://doi.org/10.1016/j.jbc.2025.108327,yes,gold,0021-9258,Journal of Biological Chemistry,Elsevier BV,https://v2.sherpa.ac.uk/id/publication/10347,None,None,None
,middle,https://orcid.org/0000-0002-5955-1283,2024-07-04,https://doi.org/10.1038/s41467-024-49749-1,yes,gold,2041-1723,Nature Communications,Nature Portfolio,https://v2.sherpa.ac.uk/id/publication/24265,None,None,None
https://orcid.org/0000-0003-4684-9846,middle,https://orcid.org/0000-0001-7881-1127,2024-08-22,https://doi.org/10.1038/s41562-024-01941-5,no,closed,2397-3374,Nature Human Behaviour,Nature Portfolio,https://v2.sherpa.ac.uk/id/publication/32987,"11461:fee_no:Must link to publisher version Upon publication, source must be acknowledged and DOI cited Post-prints are subject to Springer Nature re-use terms Non-commercial use only;",11462:fee_no:Must link to publisher version Published source must be acknowledged and DOI cited Post-prints are subject to Springer Nature re-use terms Non-commercial use only;,None
https://orcid.org/0000-0001-9068-401X,middle,https://orcid.org/0000-0003-3679-9726,2024-07-09,https://doi.org/10.1007/s41101-024-00279-3,no,closed,2364-5687,Water Conservation Science and Engineering,Springer Science+Business Media,https://v2.sherpa.ac.uk/id/publication/36206,None,None,None
https://orcid.org/0000-0003-3465-0848,middle,none,2024-09-04,https://doi.org/10.1038/s41564-024-01796-6,yes,hybrid,2058-5276,Nature Microbiology,Nature Portfolio,https://v2.sherpa.ac.uk/id/publication/32244,"11461:fee_no:Must link to publisher version Upon publication, source must be acknowledged and DOI cited Post-prints are subject to Springer Nature re-use terms Non-commercial use only;",11462:fee_no:Must link to publisher version Published source must be acknowledged and DOI cited Post-prints are subject to Springer Nature re-use terms Non-commercial use only;,None
